Furnished,Price(L),Bedrooms,Bathrooms,Area(in sqft),Filtered Locality
Furnished,"34,000",3,2,1800,Kavadiguda
Semi-Furnished,"45,000",3,2,2500,Gachibowli
Furnished,"40,000",3,2,2160,Moosapet
Semi-Furnished,"23,000",3,2,1580,kondapur
Furnished,"50,000",3,2,2600,Golconda
Semi-Furnished,"32,000",3,1,1350,Nanakramguda
Furnished,"35,000",3,2,1700,"Somajiguda,"
Unfurnished,"11,000",3,1,1150,Kapra
Semi-Furnished,"19,000",3,2,1330,Nallakunta
Unfurnished,"30,000",3,1,1836,Manikonda
Semi-Furnished,"18,000",3,2,1540,Miyapur
Semi-Furnished,"30,000",3,1,1720,Narsingi
Semi-Furnished,"31,000",3,2,1950,"Nagar,"
Semi-Furnished,"49,000",3,3,2075,gucchibowli
Semi-Furnished,"38,000",3,2,2500,Banjara Hills
Semi-Furnished,"18,000",2,3,1080,Kachiguda
Semi-Furnished,"26,000",3,2,1500,Miyapur
Semi-Furnished,"25,000",3,3,2150,Papulguda
Furnished,"12,000",2,1,1350,Bachupally
Semi-Furnished,"34,000",3,1,1198,Guda
Semi-Furnished,"39,000",3,1,2100,Gachibowli
Unfurnished,"37,000",3,1,1875,ECIL
Unfurnished,"13,000",3,2,1200,Gatti
Semi-Furnished,"35,000",2,2,1296,Kukatpally
Furnished,"45,000",2,2,1100,Hitech City
Semi-Furnished,"38,000",3,2,2000,Banjara Hills
Furnished,"45,000",3,2,2020,Gachibowli
Furnished,"35,000",2,1,1200,Mehindipatnam
Unfurnished,"35,000",3,2,1640,Narayanguda
Unfurnished,"35,000",3,2,1640,Narayanguda
Semi-Furnished,"40,000",3,3,1870,Gachibowli
Semi-Furnished,"25,000",3,2,1600,Jubilee Hills
Semi-Furnished,"25,000",3,1,1650,Kondapur
Unfurnished,"19,000",2,2,1260,Kondapur
Semi-Furnished,"35,000",3,2,1920,Gachibowli
Unfurnished,"18,000",3,1,1250,Devdi
Semi-Furnished,"40,000",3,2,1818,"Nagar,"
Semi-Furnished,"24,000",3,2,2130,Kukatpally
Unfurnished,"35,000",3,1,1800,Mehdipatnam
Furnished,"30,000",3,2,1555,Bachupally
Semi-Furnished,"16,000",2,2,1200,KPHB
Semi-Furnished,"20,000",3,2,1600,Dullapally
Unfurnished,"12,000",2,2,1296,Gajularamara
Semi-Furnished,"28,000",3,2,2072,Jeedimetla
Unfurnished,"17,000",3,3,1460,Nizampet
Semi-Furnished,"45,000",3,2,1900,Serilingampally
Unfurnished,"15,500",2,1,950,Chowki
Furnished,"16,000",2,1,1100,Marredpally
Semi-Furnished,"20,000",2,1,1563,junction
Unfurnished,"36,000",3,2,1990,Shaikpet
Unfurnished,"45,000",3,2,2051,Phase
Semi-Furnished,"20,000",3,1,1260,Hyderabad
Unfurnished,"15,000",2,2,1075,Chandanagar
Semi-Furnished,"30,000",3,3,2100,Nagar
Unfurnished,"35,000",3,2,2000,Nizampet
Semi-Furnished,"36,000",3,1,1600,Madhapur
Unfurnished,"13,000",3,1,1360,Annojiguda
Semi-Furnished,"35,000",3,1,2025,Manikonda
Semi-Furnished,"22,000",3,3,1860,Secunderabad
Semi-Furnished,"25,000",3,2,1500,Chandanagar
Unfurnished,"30,000",2,2,1160,Kukatpally
Unfurnished,"17,500",3,2,1400,Bandlaguda
Furnished,"44,000",3,1,1380,Gachibowli
Semi-Furnished,"24,000",3,2,1800,Kukatpally
Furnished,"43,000",3,2,2000,Hafeezpet
Furnished,"35,000",3,2,1800,Serilingampally
Semi-Furnished,"25,000",3,1,1620,Gajularamara
Semi-Furnished,"25,000",3,3,2200,"Ramanthapur,"
Unfurnished,"30,000",3,2,1810,Serilingampally
Semi-Furnished,"12,000",3,2,1510,Medchal
Semi-Furnished,"50,000",4,2,2800,Ring
Semi-Furnished,"48,000",3,2,1908,Kondapur
Semi-Furnished,"30,000",3,2,1705,Hitech City
Unfurnished,"19,000",2,2,900,Papulguda
Semi-Furnished,"38,000",3,2,1690,Gachibowli
Semi-Furnished,"35,000",3,1,1600,Shaikpet
Unfurnished,"10,000",2,1,800,Attapur
Unfurnished,"14,000",3,2,1360,Colony
Furnished,"29,000",2,1,1200,Manikonda
Semi-Furnished,"17,000",2,1,1200,Puppalaguda
Unfurnished,"16,000",3,1,1580,Yapral
Unfurnished,"15,000",2,2,900,Mehdipatnam
Unfurnished,"17,000",3,2,1230,Nizampet
Semi-Furnished,"18,000",2,2,1050,Kavadiguda
Unfurnished,"9,000",2,2,1265,Ring
Semi-Furnished,"16,000",2,2,1500,Marredpally
Semi-Furnished,"21,000",3,2,1400,Attapur
Unfurnished,"13,000",3,1,1550,Yapral
Semi-Furnished,"17,000",2,1,1100,Attapur
Furnished,"17,000",2,2,970,Gajularamara
